[2021-10-14T01:33:07.823377000Z WARN  solana_perf] CUDA is disabled
[2021-10-14T01:33:07.842313000Z INFO  solana_faucet::faucet] Faucet started. Listening on: 0.0.0.0:9900
[2021-10-14T01:33:07.842329000Z INFO  solana_faucet::faucet] Faucet account address: FE4h4K2BDpvX3FeKPcxdvJuiDoXrFD4x7xUWBd2VCgb7
[2021-10-14T01:33:07.844491000Z INFO  solana_core::test_validator] Fetching HovQMDrbAgAYPCmHVSrezcSmkMtXSSUsLDFANExrZh2J over RPC...
[2021-10-14T01:33:09.761443000Z INFO  solana_core::test_validator] Fetching 6eadH6vSsEk5bPiXWPYRq5KRSjohfYd6Ug5HjGbxaWce over RPC...
[2021-10-14T01:33:11.918226000Z INFO  solana_core::test_validator] Fetching 4skJ85cdxQAFVKbcGgfun8iZPL7BadVYXG3kGEGkufqA over RPC...
[2021-10-14T01:33:12.170021000Z INFO  solana_core::test_validator] Fetching CZ5MCRvkN38d5pnZDDEEyMiED3drgDUVpEUjkuJq31Kf over RPC...
[2021-10-14T01:33:12.423488000Z INFO  solana_core::test_validator] Fetching 7HRgm8iXEDx2TmSETo3Lq9SXkF954HMVKNiq8t5sKvQS over RPC...
[2021-10-14T01:33:13.304962000Z INFO  solana_core::test_validator] Fetching FHQtNjRHA9U5ahrH7mWky3gamouhesyQ5QvpeGKrTh2z over RPC...
[2021-10-14T01:33:13.556635000Z INFO  solana_core::test_validator] Fetching Ec2enZyoC4nGpEfu2sUNAa2nUGJHWxoUWYSEJ2hNTWTA over RPC...
[2021-10-14T01:33:13.810483000Z INFO  solana_core::test_validator] Fetching Bu17U2YdBM9gRrqQ1zD6MpngQBb71RRAAn8dbxoFDSkU over RPC...
[2021-10-14T01:33:14.064322000Z INFO  solana_core::test_validator] Fetching DESVgJVGajEgKGXhb6XmqDHGz3VjdgP7rEVESBgxmroY over RPC...
[2021-10-14T01:33:14.319330000Z INFO  solana_core::test_validator] Fetching F1Dcnq6F8NXR3gXADdsYqrXYBUUwoT7pfCtRuQWSyQFd over RPC...
[2021-10-14T01:33:14.574754000Z INFO  solana_core::test_validator] Fetching 58vac8i9QXStG1hpaa4ouwE1X7ngeDjY9oY7R15hcbKJ over RPC...
[2021-10-14T01:33:15.849547000Z INFO  solana_core::test_validator] Fetching AvKzLiE8ezzp6kLVw49nq8drycE89NS1RQaBWjBNeUoF over RPC...
